landscape,w,loss
0,-1.0,0.0
0,-0.9933333333333333,-0.02227968560967297
0,-0.9866666666666667,-0.04405997253113364
0,-0.98,-0.06534472890095469
0,-0.9733333333333334,-0.08613854233115485
0,-0.9666666666666667,-0.10644708859366614
0,-0.96,-0.12627730698933684
0,-0.9533333333333334,-0.1456373495395385
0,-0.9466666666666667,-0.1645363071539313
0,-0.94,-0.1829837520301208
0,-0.9333333333333333,-0.20098916604093436
0,-0.9266666666666666,-0.21856134489820442
0,-0.92,-0.23570787418217884
0,-0.9133333333333333,-0.252434764750482
0,-0.9066666666666666,-0.26874631276187694
0,-0.9,-0.28464521687981126
0,-0.8933333333333333,-0.30013294709785837
0,-0.8866666666666667,-0.3152103218501737
0,-0.88,-0.32987821838497416
0,-0.8733333333333333,-0.3441383205968512
0,-0.8666666666666667,-0.35799380175936174
0,-0.86,-0.37144984783888
0,-0.8533333333333333,-0.3845139489786589
0,-0.8466666666666667,-0.39719591892904627
0,-0.84,-0.409507639761142
0,-0.8333333333333334,-0.4214625664961085
0,-0.8266666666666667,-0.4330750578174154
0,-0.8200000000000001,-0.4443596203083591
0,-0.8133333333333334,-0.455330161840069
0,-0.8066666666666666,-0.46599934406064675
0,-0.8,-0.4763781057703963
0,-0.7933333333333333,-0.4864754015356963
0,-0.7866666666666666,-0.4962981677167373
0,-0.78,-0.5058514962296188
0,-0.7733333333333333,-0.515138969627284
0,-0.7666666666666666,-0.5241630932420178
0,-0.76,-0.5329257533781858
0,-0.7533333333333333,-0.5414286352012911
0,-0.7466666666666666,-0.5496735485180599
0,-0.74,-0.5576626310441675
0,-0.7333333333333334,-0.5653984230198705
0,-0.7266666666666667,-0.572883829916218
0,-0.72,-0.5801220077002484
0,-0.7133333333333334,-0.58711621500418
0,-0.7066666666666667,-0.5938696773727475
0,-0.7,-0.60038550098381
0,-0.6933333333333334,-0.6066666587856748
0,-0.6866666666666666,-0.6127160539076745
0,-0.6799999999999999,-0.6185366470446856
0,-0.6733333333333333,-0.6241316197378023
0,-0.6666666666666667,-0.6295045367882224
0,-0.6599999999999999,-0.6346594699681939
0,-0.6533333333333333,-0.6396010518078865
0,-0.6466666666666667,-0.6443344411897937
0,-0.64,-0.6488651992643226
0,-0.6333333333333333,-0.6531990916162893
0,-0.6266666666666667,-0.6573418473673017
0,-0.62,-0.6612989151979733
0,-0.6133333333333333,-0.66507525832454
0,-0.6066666666666667,-0.668675224799716
0,-0.6,-0.6721025170685303
0,-0.5933333333333333,-0.6753602676768738
0,-0.5866666666666667,-0.6784512094339814
0,-0.5800000000000001,-0.681377911509497
0,-0.5733333333333333,-0.6841430409529553
